asset_id,asset_type,area,criticality,active,is_dynamic,data_origin,temperature,vibration,current,pressure,rpm,alarm_count,raw_health_score,rule_adjusted_score,decision_score,failure_risk,estimated_rul_days,priority,risk_band,delay_hours,delay_cost_per_hour_inr,delay_cost_impact_inr,procurement_risk,spare_stock_qty,max_spare_lead_time_days,spare_plan,evidence_confidence,missing_evidence,history_count,failure_report_count,sop_count,applied_rule_count,applied_rules,next_system_action
BFB-21,Blast Furnace Blower,Blast Furnace,Critical,True,1,dynamic_user_memory,84.0,7.1,86.0,7.4,1480.0,1,100.0,100.0,100.0,1.0,1.0,P1,CRITICAL,0.0,1500000,0.0,UNKNOWN,,0.0,No asset-specific spares record; raise inventory check and procurement confirmation.,REVIEW,maintenance history; failure reports; spares inventory; asset-specific SOP,0,0,0,1,"[{""rule_id"": ""RULE-C0573DD3"", ""rule_type"": ""safety_override"", ""condition_text"": ""Remember this safety rule: any blast furnace blower with vibration above 6.5 mm/s and temperature above 80 C must be P1 because blower failure can affect furnace stability."", ""priority_override"": ""P1"", ""risk_override"": ""CRITICAL""}]","Create immediate P1 work order, notify supervisor, and reserve critical spares. Check vibration spectrum, bearing temperature, impeller fouling, damper position, motor current, and standby availability. Procurement review required before releasing intrusive work."
SNT-10,Sinter Plant Exhaust Fan,Sinter Plant,High,True,1,dynamic_user_memory,87.0,9.5,73.0,2.1,1480.0,4,100.0,100.0,96.7,1.0,1.0,P1,CRITICAL,0.0,450000,0.0,UNKNOWN,,0.0,No asset-specific spares record; raise inventory check and procurement confirmation.,REVIEW,maintenance history; failure reports; spares inventory; asset-specific SOP,0,0,0,0,[],"Create immediate P1 work order, notify supervisor, and reserve critical spares. Check vibration spectrum, bearing temperature, impeller fouling, damper position, motor current, and standby availability. Procurement review required before releasing intrusive work."
BOF-88,Basic Oxygen Furnace Tilting Gearbox,Bof Shop,Critical,True,1,dynamic_user_memory,66.0,9.4,77.0,8.1,1480.0,3,93.0,93.0,95.7,0.93,3.5,P1,CRITICAL,0.0,350000,0.0,UNKNOWN,,0.0,No asset-specific spares record; raise inventory check and procurement confirmation.,REVIEW,maintenance history; failure reports; spares inventory; asset-specific SOP,0,0,0,1,"[{""rule_id"": ""RULE-40D94AF0"", ""rule_type"": ""safety_override"", ""condition_text"": ""Remember this safety rule: any BOF tilting gearbox with vibration above 8.5 mm/s and alarm count above 2 must be P1 even if temperature is normal."", ""priority_override"": ""P1"", ""risk_override"": ""CRITICAL""}]","Create immediate P1 work order, notify supervisor, and reserve critical spares. Run vibration spectrum, oil sample, bearing temperature check, backlash and alignment inspection. Procurement review required before releasing intrusive work."
GBX-17,Gearbox,Finishing Mill,Critical,True,0,steel_demo_app,71.758,11.0,55.661,9.798,949.998,3,82.18,82.18,92.7,0.8218,1.0,P1,CRITICAL,8.5,850000,7225000.0,HIGH,5.0,12.0,"Reserve/verify: Gearbox bearing set, Synthetic gear oil drum. Max lead time 12 day(s).",HIGH,,1,1,1,0,[],"Create immediate P1 work order, notify supervisor, and reserve critical spares. Run vibration spectrum, oil sample, bearing temperature check, backlash and alignment inspection. Procurement review required before releasing intrusive work."
BOF-77,Basic Oxygen Furnace Tilting Gearbox,Bof Shop,Critical,True,1,dynamic_user_memory,68.0,9.1,74.0,8.2,1480.0,3,85.0,85.0,87.7,0.85,7.5,P1,CRITICAL,0.0,350000,0.0,UNKNOWN,,0.0,No asset-specific spares record; raise inventory check and procurement confirmation.,REVIEW,maintenance history; failure reports; spares inventory; asset-specific SOP,0,0,0,1,"[{""rule_id"": ""RULE-40D94AF0"", ""rule_type"": ""safety_override"", ""condition_text"": ""Remember this safety rule: any BOF tilting gearbox with vibration above 8.5 mm/s and alarm count above 2 must be P1 even if temperature is normal."", ""priority_override"": ""P1"", ""risk_override"": ""CRITICAL""}]","Create immediate P1 work order, notify supervisor, and reserve critical spares. Run vibration spectrum, oil sample, bearing temperature check, backlash and alignment inspection. Procurement review required before releasing intrusive work."
MTR-204,Induction Motor,Hot Strip Mill,High,True,0,steel_demo_app,91.988,5.693,80.858,9.056,1436.169,3,77.78,77.78,87.03,0.7778,1.0,P1,CRITICAL,8.5,700000,5950000.0,HIGH,3.0,7.0,"Reserve/verify: DE bearing 6312, Cooling fan kit. Max lead time 7 day(s).",HIGH,,1,1,1,0,[],"Create immediate P1 work order, notify supervisor, and reserve critical spares. Check bearing lubrication, cooling path, current imbalance, coupling alignment, and insulation temperature. Procurement review required before releasing intrusive work."
PMP-09,Cooling Water Pump,Caster Utility,High,True,0,steel_demo_app,60.517,6.586,59.143,4.141,1381.274,3,72.21,72.21,82.73,0.7221,1.0,P1,CRITICAL,8.5,850000,7225000.0,HIGH,4.0,10.0,"Reserve/verify: Mechanical seal kit, Impeller assembly. Max lead time 10 day(s).",HIGH,,1,1,1,0,[],"Create immediate P1 work order, notify supervisor, and reserve critical spares. Inspect suction strainer, suction head, seal leakage, impeller condition, and pressure recovery. Procurement review required before releasing intrusive work."
HPP-12,Hydraulic Power Pack,Plate Mill,Medium,True,0,steel_demo_app,66.402,4.068,48.232,4.811,1200.893,3,73.07,73.07,80.62,0.7307,1.3,P2,HIGH,8.5,500000,4250000.0,HIGH,7.0,9.0,"Reserve/verify: Hydraulic filter element, Relief valve cartridge. Max lead time 9 day(s).",HIGH,,1,1,1,0,[],"Schedule inspection within 24 hours and verify spare readiness. Inspect filter differential pressure, relief valve, oil level, leakage points, and pump noise. Procurement review required before releasing intrusive work."
CCM-22,Caster Mold Oscillator,Caster,Medium,True,1,dynamic_user_memory,,6.2,96.0,,1480.0,2,76.0,76.0,72.7,0.76,12.0,P2,HIGH,0.0,950000,0.0,UNKNOWN,,0.0,No asset-specific spares record; raise inventory check and procurement confirmation.,REVIEW,maintenance history; failure reports; spares inventory; asset-specific SOP,0,0,0,0,[],Schedule inspection within 24 hours and verify spare readiness. Create equipment-specific inspection checklist from SOP/manual evidence. Procurement review required before releasing intrusive work.
RMF-31,Roughing Mill Fan,Roughing Mill,Medium,True,1,dynamic_user_memory,,7.8,,,1480.0,2,45.0,45.0,41.7,0.45,27.5,P3,MEDIUM,0.0,650000,0.0,UNKNOWN,,0.0,No asset-specific spares record; raise inventory check and procurement confirmation.,REVIEW,maintenance history; failure reports; spares inventory; asset-specific SOP,0,0,0,0,[],"Monitor trend and plan inspection during next maintenance window. Check vibration spectrum, bearing temperature, impeller fouling, damper position, motor current, and standby availability. Procurement review required before releasing intrusive work."
